well_id,easting,northing,depth_tvd_m,porosity_pct,gamma_ray_api,bulk_density_gcc,formation_top_tvd,formation_base_tvd,formation_thickness_m,distance_to_usp_km,flag,flag_reason
JUT-01,134098.0,451726.0,1692.7517976470588,,56.2702,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1693.244942352941,,58.35,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1693.7380870588236,,56.3629,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1694.2312317647059,,54.3752,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1694.7243764705881,,53.1154,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1695.2175211764707,,51.9966,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1695.710665882353,,53.3267,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1696.2038105882352,,55.3107,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1696.6969552941175,,53.9236,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1697.1901,,51.4342,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1697.6832447058823,,47.8603,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1698.1763894117646,,48.0854,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1698.6695341176471,,48.2815,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1699.1626788235294,,48.4672,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1699.6558235294117,,50.0592,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1700.148968235294,,52.1776,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1700.6421129411765,,51.753,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1701.1352576470588,,49.6777,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1701.628402352941,,47.6071,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1702.1215470588236,,47.8036,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
